name, description, price
ABSORB,leathercare set,10.00
ABSORB,leathercleaner,146.82
ADMETE RUND,chair pad,155.68
ADMETE,chair pad,285.77
ADMETE,dish towel,195.81
ÅDUM,rug,874.97
AGAM,junior chair,846.74
AGEN,children's armchair,432.25
AGEN,series,346.5
AGNARYD,picture,87.48
AGNE,bar stool,284.42
AGNE,stool,175.99
AINA,cushion cover,583.97
AINA,pair of curtains,574.13
AKURUM,wall top cabinet frame,429.65
AKURUM/RATIONELL,system,308.33
AKUT,3-piece kitchen utensil set,527.05
ALÄNG,floor lamp,738.4
ALÄNG,table lamp,841.55
ALARM,alarm clock,356.05
ALEX,drawer unit on casters,227.7
ALG,mirror,343.2
ALKALISK,alkaline battery,39.03
ALLAMÅLA,magazine rack,573.05
ALLAMÅLA,wall basket,413.8
ÄLMHULT,mug,75.61
ALSEDA,stool,110.14
ALSTER,2-piece salad server set,617.12
ALSVIK,single lever kitchen faucet,60.85
ALVE,add-on-unit for secretary,893.42
ALVE,bookcase with drawer,117.63
ALVE,cabinet with doors,727.1
ALVE,corner workstation,675.64
ALVE,desk,920.07
ALVE,drawer unit,508.92
ALVE,laptop table,472.21
ALVE,secretary,933.21
ALVE,storage bench,701.84
ALVINE PÄRLA,shade,304.76
ALVINE TRÅD,shade,474.63
ALVINE,bedspread,968.75
ALVINE,collection,223.66
ALVINE,series,283.88
AMALIA,chair cushion,168.06
AMMERÖ,series,467.53
AMORF FROST,window decoration,864.5
ÄMTEN,cleaning agent,693.01
ANDREA SATIN,duvet cover and pillowsham(s),175.11
ANDREA,rug,571.05
ANDRUP,rug,384.43
ANDY,drawer unit on casters,644.39
ANEBODA,series,461.25
ÅNES,4-drawer chest,772.29
ÅNES,chest with 2 drawers,339.14
ÅNES,mirror,979.42
ANITA,pair of curtains with tie-backs,380.32
ÅNN,bath faucet with strainer,584.04
ÅNN,sink,575.16
ANNAMOA,fabric,444.78
ANNO AMORF,panel curtain,530.47
ANNO INEZ,panel curtain,788.62
ANNO LJUV,panel curtain,578.9
ANNO SANELA,panel curtain,499.69
ANNO STRÅ,panel curtain,336.69
ANNO TUPPLUR,panel curtain,943.44
ANNO UNNI,panel curtain,852.05
ANNO VACKER,panel curtain,510.21
ANNONS,5-piece cookware set,491.15
ANORDNA LYX,pull-out storage unit,211.3
ANORDNA LYX,storage unit,102.41
ANORDNA MEST,pull-out storage unit,503.63
ANORDNA MEST,storage unit,394.54
ANRIK,coffee/tea maker,792.83
ANSLUTA,intermediate connection cord,640.72
ANSLUTA,power supply cord,407.36
ANSLUTA,power supply cord 6-way,981.06
ANTEN,scale,404.4
ANTIFONI,floor/reading lamp,937.6
ANTIFONI,work lamp,766.3
ANTIK,handle,251.19
ANTIK,knob,688.09
ANTILOP,highchair tray,102.87
ANTILOP,highchair with safety belt,510.38
ANTILOP,wall mount changing table,493.65
ANTONIUS,drying rack,248.01
ANTONIUS,foldable drying rack,641.4
ANTONIUS,height adjustable clothes dryer,417.35
ANTONIUS,laundry bag with stand,127.73
ANTONIUS,shelf,875.39
ANTONIUS,system,852.9
APA,storage box,522.69
APELSKÄR,sink faucet with strainer,674.39
ÄPPELVINÄGER MED LINGON,apple vinegar with lingonberries,901.72
ÄPPLARÖ,outdoor furniture,239.49
ARHOLMA,series,516.31
ÅRLIG,plant pot,580.71
